Õº∆¨–Ú∫≈,‘§≤‚–Ú∫≈,‘§≤‚¿‡±
0,1,automoblie
1,9,truck
2,7,horse
3,0,airplane
4,8,ship
5,1,automoblie
6,9,truck
7,1,automoblie
8,9,truck
9,7,horse
10,6,frog
11,9,truck
12,0,airplane
13,5,dog
14,9,truck
15,9,truck
16,1,automoblie
17,0,airplane
18,0,airplane
19,1,automoblie
20,9,truck
21,6,frog
22,9,truck
23,9,truck
24,8,ship
25,8,ship
26,9,truck
27,8,ship
28,8,ship
29,9,truck
30,8,ship
31,8,ship
32,9,truck
33,5,dog
34,8,ship
35,9,truck
36,8,ship
37,0,airplane
38,9,truck
39,0,airplane
40,9,truck
41,8,ship
42,0,airplane
43,8,ship
44,1,automoblie
45,2,bird
46,3,cat
47,6,frog
48,6,frog
49,1,automoblie
50,6,frog
51,6,frog
52,9,truck
53,6,frog
54,3,cat
55,8,ship
56,3,cat
57,8,ship
58,8,ship
59,8,ship
60,8,ship
61,9,truck
62,6,frog
63,6,frog
64,2,bird
65,8,ship
66,8,ship
67,9,truck
68,8,ship
69,9,truck
70,6,frog
71,8,ship
72,8,ship
73,5,dog
74,6,frog
75,5,dog
76,9,truck
77,9,truck
78,8,ship
79,6,frog
80,6,frog
81,5,dog
82,9,truck
83,8,ship
84,0,airplane
85,8,ship
86,9,truck
87,6,frog
88,6,frog
89,7,horse
90,7,horse
91,9,truck
92,8,ship
93,8,ship
94,8,ship
95,9,truck
96,1,automoblie
97,9,truck
98,5,dog
99,0,airplane
100,8,ship
101,9,truck
102,0,airplane
103,9,truck
104,7,horse
105,8,ship
106,1,automoblie
107,9,truck
108,8,ship
109,8,ship
110,1,automoblie
111,8,ship
112,7,horse
113,1,automoblie
114,7,horse
115,9,truck
116,9,truck
117,8,ship
118,8,ship
119,3,cat
120,0,airplane
121,6,frog
122,7,horse
123,8,ship
124,9,truck
125,8,ship
126,9,truck
127,6,frog
128,9,truck
129,3,cat
130,9,truck
131,8,ship
132,3,cat
133,5,dog
134,9,truck
135,6,frog
136,9,truck
137,2,bird
138,9,truck
139,9,truck
140,6,frog
141,9,truck
142,8,ship
143,3,cat
144,1,automoblie
145,6,frog
146,9,truck
147,8,ship
148,8,ship
149,6,frog
150,9,truck
151,6,frog
152,7,horse
153,6,frog
154,8,ship
155,9,truck
156,9,truck
157,9,truck
158,9,truck
159,9,truck
160,8,ship
161,5,dog
162,6,frog
163,9,truck
164,8,ship
165,9,truck
166,9,truck
167,0,airplane
168,8,ship
169,0,airplane
170,8,ship
171,6,frog
172,9,truck
173,6,frog
174,8,ship
175,7,horse
176,8,ship
177,6,frog
178,6,frog
179,6,frog
180,6,frog
181,6,frog
182,6,frog
183,1,automoblie
184,6,frog
185,0,airplane
186,0,airplane
187,7,horse
188,9,truck
189,9,truck
190,6,frog
191,9,truck
192,0,airplane
193,8,ship
194,1,automoblie
195,9,truck
196,9,truck
197,7,horse
198,6,frog
199,8,ship
200,6,frog
201,0,airplane
202,8,ship
203,8,ship
204,1,automoblie
205,9,truck
206,6,frog
207,9,truck
208,6,frog
209,1,automoblie
210,6,frog
211,0,airplane
212,6,frog
213,8,ship
214,0,airplane
215,9,truck
216,0,airplane
217,8,ship
218,0,airplane
219,0,airplane
220,6,frog
221,8,ship
222,8,ship
223,8,ship
224,9,truck
225,7,horse
226,9,truck
227,7,horse
228,7,horse
229,6,frog
230,6,frog
231,1,automoblie
232,8,ship
233,7,horse
234,9,truck
235,6,frog
236,9,truck
237,9,truck
238,9,truck
239,8,ship
240,6,frog
241,0,airplane
242,6,frog
243,9,truck
244,9,truck
245,8,ship
246,9,truck
247,8,ship
248,4,deer
249,8,ship
250,6,frog
251,1,automoblie
252,9,truck
253,8,ship
254,9,truck
255,8,ship
256,3,cat
257,0,airplane
258,8,ship
259,9,truck
260,1,automoblie
261,5,dog
262,8,ship
263,3,cat
264,8,ship
265,8,ship
266,8,ship
267,0,airplane
268,8,ship
269,6,frog
270,8,ship
271,6,frog
272,1,automoblie
273,9,truck
274,8,ship
275,8,ship
276,9,truck
277,6,frog
278,0,airplane
279,8,ship
280,9,truck
281,8,ship
282,4,deer
283,6,frog
284,6,frog
285,8,ship
286,8,ship
287,8,ship
288,1,automoblie
289,8,ship
290,6,frog
291,6,frog
292,8,ship
293,9,truck
294,0,airplane
295,8,ship
296,0,airplane
297,6,frog
298,5,dog
299,7,horse
300,8,ship
301,8,ship
302,9,truck
303,0,airplane
304,1,automoblie
305,6,frog
306,6,frog
307,9,truck
308,8,ship
309,6,frog
310,8,ship
